Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,29.22723007,29.836437224,30.445644378,31.054851532,31.664058686,32.27326584,32.882472994,33.491680148,34.100887302,34.710094456,35.31930161,35.96217845655861,36.61675685498835,37.28324979525288,37.96187414412854,38.65285071576954,39.356404343557564,40.07276395325915,40.8021626375147,41.54483773168334,42.30103089106823,43.07098816954763,43.85496009963706,44.65320177400884,45.465972928495454,46.29353802660359,47.13616634556668,47.99413206396356,48.8677143509322,49.757197457006974,50.662870806609625,51.58502909222358,52.52397237028245,53.48000615880387,54.45344153680049,55.44459524550041,56.45378979140995,57.481353551252504,58.52762087881731,59.592932213753194,60.67763419234249,61.78207976029126
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,99.26808167,99.291273503,99.314465336,99.337657169,99.360849002,99.384040835,99.407232668,99.430424501,99.453616334,99.476808167,99.5,99.52320806379099,99.54642154079026,99.56964043226046,99.59286473946443,99.61609446366545,99.63932960612698,99.6625701681128,99.68581615088704,99.70906755571401,99.73232438385847,99.75558663658533,99.77885431515992,99.80212742084774,99.82540595491466,99.84868991862686,99.87197931325075,99.8952741400531,99.91857440030094,99.94188009526162,99.96519122620275,99.98850779439223,100.01182980109836,100.03515724758958,100.05849013513473,100.08182846500294,100.10517223846358,100.12852145678637,100.15187612124132,100.17523623309869,100.19860179362908,100.2219728041034,100.24534926579283,100.26873117996881,100.29211854790313,100.31551137086788,100.33890965013543,100.36231338697841,100.38572258266984,100.40913723848293,100.43255735569127,100.45598293556868,100.47941397938934
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.88336945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.29842377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,16.48273087,17.31061084846154,18.13849082692308,18.966370805384617,19.79425078384616,20.62213076230769,21.45001074076923,22.27789071923077,23.105770697692307,23.93365067615385,24.761530654615385,25.589410633076923,26.417290611538466,27.24517059,28.158133179024073,29.101688371100646,30.0768612984452,31.084711444585405,32.12633379544458,33.20286002899681,34.315459744786544,35.46534173464828,36.65375529600701,37.88199158918624,39.15138504019828,40.463314790540785,41.819206195574864,43.22053237311243,44.668815803895505,46.16562998570621,47.71260114290453,49.31140999325128,50.96379357393586,52.671547128792525,54.43652605875584,56.26064793767406,58.145894595670875,60.09431427231877,62.10802384196337,64.18921111361655,66.34013720791708,68.56313901374106,70.86063172713143,73.23511147530479
Bermuda,BMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,63.20814896,64.2571251425,65.306101325,66.3550775075,67.40405369,68.4530298725,69.502006055,70.5509822375,71.59995842000001,72.64893460249999,73.697910785,74.7468869675,75.79586315,76.8448393325,77.893815515,78.9427916975,79.99176788,81.08410864001068,82.19136603916567,83.3137437740874,84.45144832301106,85.60468898376944,86.7736779122963,87.95863016165568,89.15976372160422,90.37729955869355,91.6114616569204,92.86247705893192,94.13057590779347,95.41599148932697,96.71896027502727,98.03972196556471,99.37851953488156,100.73559927489079,102.11121084078516,103.50560729696504,104.91904516359335,106.35178446378639,107.80408877144892,109.27622525976257,110.76846475033636,112.28108176302838,113.81435456644789,115.3685652291469,116.94399967151101,118.54094771835881,120.15970315225934
Bosnia and Herzegovina,BIH,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.063591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.58090973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,74.58673096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,77.73549652,78.742364501,79.749232482,80.756100463,81.762968444,82.769836425,83.77670440600001,84.783572387,85.790440368,86.797308349,87.80417633,88.84721049262592,89.9026349572839,90.97059690955035,92.05124528343315,93.1447307821414,94.25120589910202,95.37082493922578,96.50374404042624,97.65012119539398,98.81011627362987,99.98389104373977,101.1716091959942,102.37343636515591,103.58954015357882,104.82009015458118,106.06525797609633,107.32521726460456,108.60014372934931,109.89021516684078,111.19561148565077,112.51651473150226,113.85310911265657,115.2055810256025,116.5741190810505,117.95891413023557,119.36015929153271,120.77804997738842,122.21278392157228,123.66456120675213,125.1335842923968,126.62005804301049
Bulgaria,BGR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,8.830229759,9.1264172790625,9.422604799125,9.7187923191875,10.01497983925,10.3111673593125,10.607354879375,10.9035423994375,11.1997299195,11.4959174395625,11.792104959625,12.0882924796875,12.38447999975,12.6806675198125,12.976855039875002,13.2730425599375,13.56923008,13.886518587975885,14.211226234451157,14.543526500704491,14.88359692451709,15.231619195025639,15.587779249793204,15.952267374149953,16.325278302856706,16.707011324145743,17.09767038619434,17.497464206087994,17.90660638133152,18.325315503967616,18.75381527736384,19.192334635730422,19.641107866432748,20.10037473516388,20.570380614043952,21.051376612714943,21.543619712500806,22.04737290370465,22.562905326116372,23.090492412805716,23.63041603727768,24.182964664068837,24.748433502865026,25.327124666222797,25.919347330978812,26.525417903433496,27.145660188397187,27.780405562189017
