Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Europe & Central Asia,ECS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.703504227,0.623326218,0.571354328,0.671103634,0.77274292,0.531551062,0.411826535,0.554442381,0.497959927,0.517424821,0.543903244,0.478271744,0.444329262,0.475079802,0.311371715,0.511068462,0.582952261,0.704419925,1.018124737,1.257835476,1.409518736,1.096567257,0.926098648,1.067542933,1.072499248,1.395615518,1.423795556,1.825741846,3.305107234,5.748738912,8.541050563,4.513055715,3.741589284,2.887601586,2.810742621,6.105767674,7.100850844,8.89830512,5.361982315,3.223354997,3.57334732,4.608288449,3.612092818,3.243204795,2.475603745,5.465900595,6.56395793,4.146652532,-1.37796706,2.670575743,0.594888991,1.671865494,0.63044822
Europe & Central Asia (excluding high income),ECA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.324681934,0.278350515,0.208232446,0.303846154,0.180718031,0.247595408,0.019436346,0.046009656,0.051583539,0.083690292,0.020301611,0.104338069,0.065701982,0.05869801,0.142335514,0.114735744,0.127525441,,,,,,0.315924317,0.477651843,0.393897667,0.731350511,0.887406071,1.425053863,1.248359938,1.532652375,1.21921392,2.013309975,1.678106563,2.323491356,3.009054271,3.048774371,4.638202147,5.354224173,4.919607641,3.556536439,2.883353075,3.239945792,2.672672432,2.772983648,1.644906989,1.824306381,3.115412547,2.125661988,1.350625669,2.153314931,1.328489403,2.305671458,-0.110511514
Europe & Central Asia (IDA & IBRD countries),TEC,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.324681934,0.278350515,0.208232446,0.303846154,0.180718031,0.247595408,0.019436346,0.046009656,0.051583539,0.083690292,0.020301611,0.104338069,0.065701982,0.05869801,0.142335514,0.114735744,0.127525441,0.073983795,,,,,0.3589703,0.616650617,0.60305563,1.031787389,1.244978895,1.804399127,1.938768618,2.330031549,2.186271671,2.320798368,1.842933849,2.472632472,3.662102037,3.330152713,5.127571122,5.489480198,4.749648387,3.482443864,2.964996787,3.165008769,2.503428432,2.460396588,1.954461094,2.019315302,3.183524061,2.166397687,1.738009198,2.378393144,1.634439669,2.947284169,0.892016827
European Union,EUU,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.605534382,0.520869423,0.552386405,0.558006913,0.57733157,0.409320159,0.289942854,0.387719806,0.40958214,0.378338644,0.342239569,0.35462622,0.329009301,0.371375885,0.384113202,0.407542897,0.402963265,0.532241293,0.734809709,0.964873093,1.007261877,0.977359931,0.870368572,1.032165441,1.008574255,1.335673406,1.307660345,1.513188744,2.769219998,5.725976201,8.738424013,4.968008437,3.653650922,2.955131554,2.74839125,6.140006681,7.172864211,10.03232273,5.084022276,3.244596048,3.706934415,5.567668481,3.860110856,4.034776722,2.763985857,6.030034048,5.203054234,3.586721671,-0.480492439,3.204439105,1.395538057,2.66451494,0.564394886
Fragile and conflict affected situations,FCS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.919871808,1.72041175,0.26331997,0.908749761,0.034927552,1.036895504,-0.351821094,0.420098785,0.341882671,0.336607998,-0.147184133,0.305321775,0.310114056,0.322490017,0.144005301,0.424841056,0.114448751,0.359576918,0.263521433,0.868504578,0.299405228,1.162198581,0.853547631,0.974784684,0.955031699,0.617066191,0.860794082,1.863125221,1.545559451,1.698753282,1.818507364,1.83564814,1.669605904,2.534276326,1.822663208,2.804514349,2.196255484,3.034820922,2.67099762,2.104392237,1.998264072,2.527389545,2.422631686,1.664293346,0.810588994,1.393928517,1.497435546,1.798686303,1.516739079,1.327529043,0.931921776,1.995343768,0.935270829
Heavily indebted poor countries (HIPC),HPC,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.044430463,0.725226494,0.803516802,0.863648703,0.704668396,0.738541517,0.459599145,0.411385834,0.751011483,0.718875162,0.746155774,0.442014327,0.569583597,0.479121571,0.225504602,0.638043341,-0.009088637,0.476114699,0.248620059,0.19628995,0.308854874,0.209237613,0.46496769,0.954392676,1.035439078,1.279741338,1.416422568,2.090606328,2.451370064,2.74796556,2.349174239,2.795082066,3.182449595,3.262173983,3.078595573,2.944162026,3.131368938,3.758349749,4.148329123,3.288800909,4.520917647,4.8603731,5.379772702,5.199968849,4.082837525,4.280385212,3.360760157,3.641630556,3.670128998,2.931977474,2.238632458,3.535521619,3.211681876
High income,HIC,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.435048546,0.421346029,0.412672668,0.428602207,0.464658535,0.431566286,0.315020827,0.394164847,0.403873476,0.441812587,0.528127627,0.647399347,0.624638871,0.478374747,0.523262001,0.32840531,0.592896378,0.905514728,0.925661213,1.07637162,1.161453813,0.729849805,0.670420088,0.788534339,0.844801354,1.050648312,1.157926347,1.470621316,2.465786518,3.815687795,5.086524698,2.665579159,2.081761898,1.769950992,2.15616457,3.362540499,4.552127178,5.874046508,3.895344592,2.255693165,2.769102381,3.229162814,2.678406687,2.659127522,2.461718173,4.333788576,4.322102335,3.131547092,0.449546872,2.262424547,1.154436274,2.316210923,1.877689542
IBRD only,IBD,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.709011459,0.787283636,0.345354772,0.656360549,0.662947637,0.83455401,0.313794662,0.365143738,0.54793281,0.386579894,0.441935056,0.563209398,0.473351969,0.441687424,0.409811797,0.500458001,0.519591395,0.478864591,0.698458294,0.724146407,0.659857794,1.029425016,1.123760037,1.447173065,1.901816028,1.933858749,2.241729996,2.7927675,2.847090974,3.180812795,2.674226442,2.816538642,2.494608109,2.410177382,2.829361819,3.157063294,3.528753296,3.916942072,3.684930185,2.580939668,3.114773517,3.090591917,2.690122382,2.707028662,2.381856785,2.360665313,2.123332366,1.842890958,1.990258632,1.849939369,1.797599074,2.249848697,1.569995346
IDA & IBRD total,IBT,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.787254009,0.832101579,0.458517772,0.727288693,0.655387114,0.808464916,0.352992052,0.399412193,0.542993069,0.41010407,0.394313291,0.527007328,0.456278608,0.434285224,0.389765017,0.504016212,0.477304246,0.486242088,0.664043841,0.747831784,0.641908439,0.975347423,1.100880888,1.427333779,1.831267194,1.823241141,2.098178108,2.610653407,2.643949179,3.02327158,2.542592905,2.680288017,2.404638811,2.338631836,2.725716746,3.056618312,3.419782247,3.818696329,3.613730346,2.560460985,3.052261258,3.07374686,2.69268292,2.699203849,2.366776017,2.35798717,2.119117834,1.873862998,1.986896741,1.844547814,1.776915515,2.231517854,1.577911873
IDA blend,IDB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.472936659,1.597571184,1.744896061,1.952712961,1.039133258,1.138545698,0.743910471,0.834181645,0.519493594,0.657792256,-0.245394131,0.45381421,0.400195387,0.569806455,0.352969921,0.841134231,0.337685981,0.878980838,0.710797769,1.956063636,0.747094235,0.829871458,1.014285908,1.466913904,1.477420139,0.758553531,0.661564173,0.566455142,0.493795115,1.182353797,0.892972306,0.798896451,1.52877844,1.371247669,1.181428469,2.278993164,2.487251869,2.80775101,2.646043732,2.390421043,1.732151912,1.804316461,1.238792993,1.201928687,1.198440544,1.20115351,1.031429459,1.493849418,1.045525895,0.78756095,0.619280837,0.995755607,0.592535425
