Year,State Code,STATE,Districts,PRIMARY SECTOR,SECONDARY SECTOR,TERTIARY SECTOR,TOTAL CURRENT PRICES,PER CAPITA CURRENT PRICES
2013,7,MAHARASHTRA,YEOTMAL,41087,30905,69070,141062,50
2007,7,MAHARASHTRA,WARDHA,12544,12310,21897,46751,37
2008,7,MAHARASHTRA,WARDHA,9858,13520,24098,47476,37
2009,7,MAHARASHTRA,WARDHA,10651,14625,27450,52727,41
2010,7,MAHARASHTRA,WARDHA,11403,17289,31367,60059,46
2011,7,MAHARASHTRA,WARDHA,12421,19044,33956,65421,50
2012,7,MAHARASHTRA,WARDHA,11736,22651,38387,72774,56
2013,7,MAHARASHTRA,WARDHA,12639,26140,43239,82017,62
2007,7,MAHARASHTRA,NAGPUR,15015,93203,157670,265888,60
2008,7,MAHARASHTRA,NAGPUR,12965,100691,179907,293563,66
2009,7,MAHARASHTRA,NAGPUR,14096,110188,208090,332374,73
2010,7,MAHARASHTRA,NAGPUR,18543,129072,240991,388606,85
2011,7,MAHARASHTRA,NAGPUR,20395,154947,258611,433953,93
2012,7,MAHARASHTRA,NAGPUR,18945,179795,296545,495285,105
2013,7,MAHARASHTRA,NAGPUR,20402,205506,341989,567897,119
2007,7,MAHARASHTRA,BHANDARA,8942,12095,14202,35239,30
2008,7,MAHARASHTRA,BHANDARA,8044,13517,15402,36962,31
2009,7,MAHARASHTRA,BHANDARA,8041,14702,17410,40154,34
2010,7,MAHARASHTRA,BHANDARA,11850,17649,19572,49071,41
2011,7,MAHARASHTRA,BHANDARA,13272,18567,20897,52736,44
2012,7,MAHARASHTRA,BHANDARA,12700,22528,23420,58648,49
2013,7,MAHARASHTRA,BHANDARA,13959,26052,28428,68440,56
2007,7,MAHARASHTRA,CHANDRAPUR,20026,23097,39213,82336,38
2008,7,MAHARASHTRA,CHANDRAPUR,17689,25811,43271,86771,40
2009,7,MAHARASHTRA,CHANDRAPUR,18711,27687,48449,94847,44
2010,7,MAHARASHTRA,CHANDRAPUR,25432,31021,55451,111904,51
2011,7,MAHARASHTRA,CHANDRAPUR,28620,32726,59581,120927,55
2012,7,MAHARASHTRA,CHANDRAPUR,27350,38061,67869,133281,60
2013,7,MAHARASHTRA,CHANDRAPUR,30262,45731,77399,153392,69
2007,3,GUJARAT,AHMEDABAD,25623,314899,312412,652933,99
2008,3,GUJARAT,AHMEDABAD,26578,355214,373397,755190,112
2009,3,GUJARAT,AHMEDABAD,36480,443153,409521,889153,129
2010,3,GUJARAT,AHMEDABAD,45223,485223,504891,1035337,147
2011,3,GUJARAT,AHMEDABAD,50789,563098,596201,1210088,168
2012,3,GUJARAT,AHMEDABAD,49735,643241,710333,1403309,190
2013,3,GUJARAT,AHMEDABAD,59736,741014,833250,1634000,217
2007,3,GUJARAT,AMRELI,16773,29001,20087,65862,45
2008,3,GUJARAT,AMRELI,15119,31965,22291,69375,47
2009,3,GUJARAT,AMRELI,15509,36530,26289,78328,53
2010,3,GUJARAT,AMRELI,21510,39653,29986,91148,61
2011,3,GUJARAT,AMRELI,22676,44758,34546,101981,67
2012,3,GUJARAT,AMRELI,21232,49224,40458,110914,73
2013,3,GUJARAT,AMRELI,23956,55419,46243,125617,82
2007,3,GUJARAT,BANASKANTHA,37122,14667,37319,89108,31
2008,3,GUJARAT,BANASKANTHA,38231,16547,41933,96711,33
2009,3,GUJARAT,BANASKANTHA,53457,19690,48532,121679,41
2010,3,GUJARAT,BANASKANTHA,104565,21564,57893,184023,60
2011,3,GUJARAT,BANASKANTHA,112458,24868,69476,206801,66
2012,3,GUJARAT,BANASKANTHA,105221,28812,82368,216401,68
2013,3,GUJARAT,BANASKANTHA,121135,37234,96347,254715,78
2007,3,GUJARAT,BHARUCH,24103,47126,36476,107705,73
2008,3,GUJARAT,BHARUCH,33451,51905,42009,127365,86
2009,3,GUJARAT,BHARUCH,41187,62543,48630,152360,101
2010,3,GUJARAT,BHARUCH,71076,67075,58955,197106,129
2011,3,GUJARAT,BHARUCH,76857,69765,70511,217133,140
2012,3,GUJARAT,BHARUCH,72218,76560,84915,233693,149
2013,3,GUJARAT,BHARUCH,83777,86394,98705,268876,168
2007,3,GUJARAT,VADODARA / BARODA,27700,141379,143143,312222,79
2008,3,GUJARAT,VADODARA / BARODA,27952,156734,164969,349656,87
2009,3,GUJARAT,VADODARA / BARODA,33135,196178,183246,412559,102
2010,3,GUJARAT,VADODARA / BARODA,42235,211540,217278,471053,115
2011,3,GUJARAT,VADODARA / BARODA,46470,238168,249505,534143,128
2012,3,GUJARAT,VADODARA / BARODA,44750,268737,293400,606887,144
2013,3,GUJARAT,VADODARA / BARODA,52543,306615,339839,698997,163
2007,3,GUJARAT,BHAVNAGAR,38580,44626,47092,130298,48
2008,3,GUJARAT,BHAVNAGAR,40237,50315,53869,144421,53
2009,3,GUJARAT,BHAVNAGAR,25256,61331,62558,149145,53
2010,3,GUJARAT,BHAVNAGAR,30684,66678,74117,171480,60
2011,3,GUJARAT,BHAVNAGAR,34909,78242,86332,199484,69
2012,3,GUJARAT,BHAVNAGAR,34816,89270,104315,228401,78
2013,3,GUJARAT,BHAVNAGAR,42316,103253,120750,266320,90
2007,3,GUJARAT,VALSAD,17705,40710,37806,96220,61
2008,3,GUJARAT,VALSAD,18600,44907,43275,106781,67
2009,3,GUJARAT,VALSAD,20675,54673,49787,125134,77
2010,3,GUJARAT,VALSAD,28031,58032,60133,146195,88
2011,3,GUJARAT,VALSAD,29525,58985,71096,159605,94
2012,3,GUJARAT,VALSAD,29098,65858,85105,180062,103
2013,3,GUJARAT,VALSAD,32822,75629,98777,207228,116
2007,3,GUJARAT,DANGS,5187,1451,3654,10292,52
2008,3,GUJARAT,DANGS,5749,1620,4340,11709,59
2009,3,GUJARAT,DANGS,5588,1911,4623,12122,61
2010,3,GUJARAT,DANGS,6346,1992,5756,14094,70
2011,3,GUJARAT,DANGS,6809,1055,6225,14089,62
2012,3,GUJARAT,DANGS,6516,1147,7140,14804,72
2013,3,GUJARAT,DANGS,7373,1291,8309,16973,82
2007,3,GUJARAT,JAMNAGAR,16763,93074,53887,163723,80
2008,3,GUJARAT,JAMNAGAR,14208,102593,59246,176047,85
2009,3,GUJARAT,JAMNAGAR,17154,123403,67704,208261,99
2010,3,GUJARAT,JAMNAGAR,30880,132105,77263,240248,113
2011,3,GUJARAT,JAMNAGAR,34313,142961,88142,265416,123
2012,3,GUJARAT,JAMNAGAR,34517,160230,103524,298271,136
2013,3,GUJARAT,JAMNAGAR,41152,182118,119414,342684,155
2007,3,GUJARAT,JUNAGADH,28611,43467,43044,115121,44
2008,3,GUJARAT,JUNAGADH,26296,47420,47583,121298,46
2009,3,GUJARAT,JUNAGADH,23160,55176,54683,133019,50
2010,3,GUJARAT,JUNAGADH,29837,59590,63153,152580,56
2011,3,GUJARAT,JUNAGADH,30283,58681,72251,161215,59
2012,3,GUJARAT,JUNAGADH,29583,63903,85050,178536,64
2013,3,GUJARAT,JUNAGADH,32181,71318,97954,201452,72
2007,3,GUJARAT,KHEDA,25014,17349,33270,75633,35
2008,3,GUJARAT,KHEDA,24877,19565,37525,81967,37
2009,3,GUJARAT,KHEDA,30629,23610,42404,96642,43
2010,3,GUJARAT,KHEDA,61524,25603,50706,137833,61
2011,3,GUJARAT,KHEDA,64510,24363,58834,147707,64
2012,3,GUJARAT,KHEDA,58876,28057,70177,157111,67
2013,3,GUJARAT,KHEDA,66049,32135,80583,178767,76
2007,3,GUJARAT,KUTCH,20516,53705,63901,138122,74
2008,3,GUJARAT,KUTCH,20551,60497,73229,154277,80
2009,3,GUJARAT,KUTCH,28778,73713,80809,183300,93
2010,3,GUJARAT,KUTCH,37138,82198,98149,217486,107
2011,3,GUJARAT,KUTCH,38235,86419,116599,241253,115
2012,3,GUJARAT,KUTCH,35231,98789,139282,273302,127
2013,3,GUJARAT,KUTCH,38665,113126,163227,315019,142
2007,3,GUJARAT,MEHSANA,23147,37523,41884,102553,53
2008,3,GUJARAT,MEHSANA,23869,41862,47324,113055,57
2009,3,GUJARAT,MEHSANA,32901,49897,53804,136602,69
2010,3,GUJARAT,MEHSANA,67654,54297,63959,185910,92
2011,3,GUJARAT,MEHSANA,73246,59347,75945,208538,102
2012,3,GUJARAT,MEHSANA,68755,66688,88760,224203,109
2013,3,GUJARAT,MEHSANA,79819,75588,102119,257526,124
2007,3,GUJARAT,PANCHMAHAL,15198,14352,23137,52687,24
2008,3,GUJARAT,PANCHMAHAL,16214,16481,26313,59008,26
2009,3,GUJARAT,PANCHMAHAL,16088,19806,30791,66685,29
2010,3,GUJARAT,PANCHMAHAL,19830,22059,37015,78903,34
2011,3,GUJARAT,PANCHMAHAL,21547,23252,44129,88927,37
2012,3,GUJARAT,PANCHMAHAL,20837,27056,52478,100371,41
2013,3,GUJARAT,PANCHMAHAL,23938,31258,60906,116102,47
2007,3,GUJARAT,RAJKOT,37992,98497,95343,231832,66
2008,3,GUJARAT,RAJKOT,28663,110121,108711,247496,69
2009,3,GUJARAT,RAJKOT,18279,135647,125011,278936,76
2010,3,GUJARAT,RAJKOT,28633,146181,147395,322209,86
2011,3,GUJARAT,RAJKOT,37324,173161,172926,383410,101
2012,3,GUJARAT,RAJKOT,42361,196298,205588,444246,115
2013,3,GUJARAT,RAJKOT,59320,225078,238793,523191,132
2007,3,GUJARAT,SABARKANTHA,30461,18464,41001,89926,39
2008,3,GUJARAT,SABARKANTHA,31822,21165,46072,99059,43
2009,3,GUJARAT,SABARKANTHA,44190,25265,53529,122985,52
2010,3,GUJARAT,SABARKANTHA,55864,28198,64421,148483,62
2011,3,GUJARAT,SABARKANTHA,61043,32826,76790,170659,70
2012,3,GUJARAT,SABARKANTHA,58082,38143,91421,187646,76
2013,3,GUJARAT,SABARKANTHA,67909,47380,106562,221851,88
2007,3,GUJARAT,SURAT,34528,162763,136788,334079,65
2008,3,GUJARAT,SURAT,35887,180882,166405,383174,71
2009,3,GUJARAT,SURAT,45317,226302,196873,468493,84
2010,3,GUJARAT,SURAT,66629,242234,251733,560596,96
2011,3,GUJARAT,SURAT,71821,272265,313168,657254,108
2012,3,GUJARAT,SURAT,67698,307633,388117,763447,120
2013,3,GUJARAT,SURAT,78202,356810,467427,902440,135
2007,3,GUJARAT,SURENDRANAGAR,39833,20248,29019,89100,54
2008,3,GUJARAT,SURENDRANAGAR,41324,22611,33034,96969,58
2009,3,GUJARAT,SURENDRANAGAR,38876,26618,39083,104577,61
2010,3,GUJARAT,SURENDRANAGAR,47622,29328,46712,123661,71
2011,3,GUJARAT,SURENDRANAGAR,55016,31827,55178,142021,81
2012,3,GUJARAT,SURENDRANAGAR,55202,35678,65577,156457,88
2013,3,GUJARAT,SURENDRANAGAR,68363,40572,76185,185120,102
2007,10,RAJASTHAN,AJMER,12371,27683,44871,84926,35
2008,10,RAJASTHAN,AJMER,16041,32994,54181,103216,42
2009,10,RAJASTHAN,AJMER,22450,37525,63465,123440,49
2010,10,RAJASTHAN,AJMER,24361,42185,76930,143475,56
2011,10,RAJASTHAN,AJMER,33530,47754,87380,168664,65
2012,10,RAJASTHAN,AJMER,39005,53248,99344,191596,73
2013,10,RAJASTHAN,AJMER,45382,58359,110068,213808,80
2007,10,RAJASTHAN,ALWAR,40485,31213,41419,113117,33
2008,10,RAJASTHAN,ALWAR,47411,37222,50256,134889,39
2009,10,RAJASTHAN,ALWAR,32693,41471,56259,130423,37
2010,10,RAJASTHAN,ALWAR,67959,45261,72189,185409,52
2011,10,RAJASTHAN,ALWAR,92723,50468,84043,227234,62
2012,10,RAJASTHAN,ALWAR,107824,55128,97687,260639,69
2013,10,RAJASTHAN,ALWAR,123470,59486,109871,292827,76
2007,10,RAJASTHAN,BANSWARA,7248,10741,11543,29532,18
2008,10,RAJASTHAN,BANSWARA,5678,12982,13853,32513,19
2009,10,RAJASTHAN,BANSWARA,6450,15236,20303,41989,24
2010,10,RAJASTHAN,BANSWARA,12218,16780,21872,50870,29
2011,10,RAJASTHAN,BANSWARA,15107,18312,26623,60042,33
2012,10,RAJASTHAN,BANSWARA,15524,20261,31988,67772,37
2013,10,RAJASTHAN,BANSWARA,16405,21970,37170,75545,40
2007,10,RAJASTHAN,BARMER,16152,5386,16678,38215,16
2008,10,RAJASTHAN,BARMER,19269,5796,20239,45304,19
2009,10,RAJASTHAN,BARMER,13181,6010,24140,43331,18
2010,10,RAJASTHAN,BARMER,16605,6305,32262,55172,22
2011,10,RAJASTHAN,BARMER,22460,6583,40037,69080,27
2012,10,RAJASTHAN,BARMER,25359,6922,47719,79999,30
2013,10,RAJASTHAN,BARMER,29124,7599,54983,91706,33
2007,10,RAJASTHAN,BHARATPUR,21762,9912,26241,57914,25
2008,10,RAJASTHAN,BHARATPUR,24653,11748,31849,68250,28
2009,10,RAJASTHAN,BHARATPUR,19686,13451,37184,70321,29
2010,10,RAJASTHAN,BHARATPUR,26605,15240,47390,89235,36
2011,10,RAJASTHAN,BHARATPUR,34843,17206,55533,107582,42
2012,10,RAJASTHAN,BHARATPUR,38836,19315,65705,123856,48
2013,10,RAJASTHAN,BHARATPUR,42718,21297,75214,139229,53
2007,10,RAJASTHAN,BHILWARA,15806,43000,27422,86228,38
2008,10,RAJASTHAN,BHILWARA,18172,51623,32128,101923,45
2009,10,RAJASTHAN,BHILWARA,23360,58552,43443,125354,54
2010,10,RAJASTHAN,BHILWARA,30952,65624,45835,142411,60
2011,10,RAJASTHAN,BHILWARA,40010,73710,52664,166384,69
2012,10,RAJASTHAN,BHILWARA,43555,81626,60405,185586,76
2013,10,RAJASTHAN,BHILWARA,47591,87241,67070,201902,81
2007,10,RAJASTHAN,BIKANER,9269,15694,32942,57906,28
2008,10,RAJASTHAN,BIKANER,9936,18588,40245,68769,32
2009,10,RAJASTHAN,BIKANER,7200,21358,53889,82447,37
2010,10,RAJASTHAN,BIKANER,9780,24410,57440,91630,40
2011,10,RAJASTHAN,BIKANER,12145,26978,65664,104787,44
2012,10,RAJASTHAN,BIKANER,12565,30311,76725,119601,49
2013,10,RAJASTHAN,BIKANER,13318,33181,87990,134488,53
2007,10,RAJASTHAN,BUNDI,11999,6018,10554,28571,27
2008,10,RAJASTHAN,BUNDI,13571,7115,12830,33516,31
2009,10,RAJASTHAN,BUNDI,16143,8328,14984,39455,37
2010,10,RAJASTHAN,BUNDI,21760,9818,19651,51230,47
2011,10,RAJASTHAN,BUNDI,28407,11297,23550,63254,57
2012,10,RAJASTHAN,BUNDI,31424,12609,28151,72184,64
2013,10,RAJASTHAN,BUNDI,34570,13907,32058,80535,70
2007,10,RAJASTHAN,CHITTORGARH,14065,12636,16469,43170,30
2008,10,RAJASTHAN,CHITTORGARH,15912,14902,20028,50842,34
2009,10,RAJASTHAN,CHITTORGARH,13312,16935,23797,54044,36
2010,10,RAJASTHAN,CHITTORGARH,25049,19879,30918,75846,50
2011,10,RAJASTHAN,CHITTORGARH,31577,23162,38814,93553,61
2012,10,RAJASTHAN,CHITTORGARH,32935,26138,46587,105659,67
2013,10,RAJASTHAN,CHITTORGARH,35450,28813,53513,117775,74
2007,10,RAJASTHAN,CHURU,7595,8316,22445,38355,19
2008,10,RAJASTHAN,CHURU,7638,9933,26552,44123,22
2009,10,RAJASTHAN,CHURU,7930,11820,30470,50220,25
2010,10,RAJASTHAN,CHURU,10528,13287,40143,63958,32
2011,10,RAJASTHAN,CHURU,13526,14486,48198,76210,37
2012,10,RAJASTHAN,CHURU,14440,16437,57835,88712,43
2013,10,RAJASTHAN,CHURU,15779,18464,67665,101908,49
2007,10,RAJASTHAN,DUNGARPUR,6688,7359,10201,24248,19
2008,10,RAJASTHAN,DUNGARPUR,7616,8989,12001,28606,22
2009,10,RAJASTHAN,DUNGARPUR,9075,10319,16483,35877,27
2010,10,RAJASTHAN,DUNGARPUR,11838,12913,17038,41788,31
2011,10,RAJASTHAN,DUNGARPUR,15350,13982,19556,48888,35
2012,10,RAJASTHAN,DUNGARPUR,16584,15944,22457,54985,39
2013,10,RAJASTHAN,DUNGARPUR,18309,17985,24817,61111,42
2007,10,RAJASTHAN,GANGANAGAR,35419,13507,36292,85217,45
2008,10,RAJASTHAN,GANGANAGAR,40941,16243,45208,102392,54
2009,10,RAJASTHAN,GANGANAGAR,50418,18536,52323,121277,63
2010,10,RAJASTHAN,GANGANAGAR,67196,19731,64574,151500,78
2011,10,RAJASTHAN,GANGANAGAR,90724,20223,73898,184845,94
2012,10,RAJASTHAN,GANGANAGAR,104679,22272,85506,212457,107
2013,10,RAJASTHAN,GANGANAGAR,118350,24680,96461,239491,119
2007,10,RAJASTHAN,JAIPUR,25663,122894,150140,298697,49
2008,10,RAJASTHAN,JAIPUR,28468,147205,185012,360685,58
2009,10,RAJASTHAN,JAIPUR,45634,171286,218064,434984,69
2010,10,RAJASTHAN,JAIPUR,95362,179598,260504,535465,83
2011,10,RAJASTHAN,JAIPUR,121255,197644,305618,624517,94
2012,10,RAJASTHAN,JAIPUR,131138,215652,358019,704808,104
2013,10,RAJASTHAN,JAIPUR,140081,232618,410522,783222,113
2007,10,RAJASTHAN,JAISALMER,8845,4992,11864,25701,43
2008,10,RAJASTHAN,JAISALMER,10066,5876,14699,30640,50
2009,10,RAJASTHAN,JAISALMER,12594,6623,16175,35392,56
2010,10,RAJASTHAN,JAISALMER,16803,9127,20273,46203,71
2011,10,RAJASTHAN,JAISALMER,22311,10839,22740,55890,83
2012,10,RAJASTHAN,JAISALMER,25193,12784,25659,63636,92
2013,10,RAJASTHAN,JAISALMER,28088,14524,28262,70873,100
2007,10,RAJASTHAN,JALORE,16056,7706,14311,38072,23
2008,10,RAJASTHAN,JALORE,18262,9532,16765,44560,26
2009,10,RAJASTHAN,JALORE,19388,10129,22758,52275,30
2010,10,RAJASTHAN,JALORE,26026,12940,24609,63575,36
2011,10,RAJASTHAN,JALORE,35734,14965,28851,79549,43
2012,10,RAJASTHAN,JALORE,41356,17339,33620,92316,49
2013,10,RAJASTHAN,JALORE,48131,20103,37969,106203,55
2007,10,RAJASTHAN,JHALAWAR,9302,6283,10745,26329,20
2008,10,RAJASTHAN,JHALAWAR,10506,7506,13383,31394,23
2009,10,RAJASTHAN,JHALAWAR,15033,9038,16059,40130,29
2010,10,RAJASTHAN,JHALAWAR,29481,10886,21663,62030,45
2011,10,RAJASTHAN,JHALAWAR,38308,12445,26433,77186,55
2012,10,RAJASTHAN,JHALAWAR,42184,14317,32285,88785,62
2013,10,RAJASTHAN,JHALAWAR,46166,16065,37535,99766,68
2007,10,RAJASTHAN,JHUNJHUNU,17069,10929,27944,55942,27
2008,10,RAJASTHAN,JHUNJHUNU,19559,12985,33017,65561,32
2009,10,RAJASTHAN,JHUNJHUNU,25052,14425,37211,76688,37
2010,10,RAJASTHAN,JHUNJHUNU,33120,16423,47276,96818,46
2011,10,RAJASTHAN,JHUNJHUNU,43592,17235,54961,115787,54
2012,10,RAJASTHAN,JHUNJHUNU,48736,19424,63059,131219,61
2013,10,RAJASTHAN,JHUNJHUNU,53906,21840,69515,145261,66
2007,10,RAJASTHAN,JODHPUR,18235,37020,47403,102657,31
2008,10,RAJASTHAN,JODHPUR,20246,43795,57693,121734,36
2009,10,RAJASTHAN,JODHPUR,22689,51870,66340,140898,40
2010,10,RAJASTHAN,JODHPUR,30844,60092,81934,172870,48
2011,10,RAJASTHAN,JODHPUR,40821,66883,94240,201944,55
2012,10,RAJASTHAN,JODHPUR,45582,75990,108808,230380,61
2013,10,RAJASTHAN,JODHPUR,50931,83356,122355,256642,66
2007,10,RAJASTHAN,KOTA,13915,36942,34302,85160,48
2008,10,RAJASTHAN,KOTA,15913,43476,42715,102103,56
2009,10,RAJASTHAN,KOTA,18705,50042,50814,119561,64
2010,10,RAJASTHAN,KOTA,24941,54530,61405,140876,74
2011,10,RAJASTHAN,KOTA,33150,57398,70426,160974,83
2012,10,RAJASTHAN,KOTA,37411,63598,82499,183508,92
2013,10,RAJASTHAN,KOTA,41846,70118,94135,206099,101
2007,10,RAJASTHAN,NAGAUR,21954,19953,31062,72969,24
2008,10,RAJASTHAN,NAGAUR,25019,23873,37539,86432,28
2009,10,RAJASTHAN,NAGAUR,18511,28313,43885,90709,28
2010,10,RAJASTHAN,NAGAUR,24500,34685,56711,115896,36
2011,10,RAJASTHAN,NAGAUR,32600,34684,66772,134056,41
2012,10,RAJASTHAN,NAGAUR,36369,39885,78590,154844,46
2013,10,RAJASTHAN,NAGAUR,41004,45033,89812,175849,51
2007,10,RAJASTHAN,PALI,17648,20471,26446,64565,33
2008,10,RAJASTHAN,PALI,22476,24380,31080,77936,40
2009,10,RAJASTHAN,PALI,29072,28031,36077,93180,47
2010,10,RAJASTHAN,PALI,33854,34592,44785,113230,56
2011,10,RAJASTHAN,PALI,45799,40938,51544,138280,68
2012,10,RAJASTHAN,PALI,51743,46935,58654,157332,76
2013,10,RAJASTHAN,PALI,59888,52008,64730,176626,85
2007,10,RAJASTHAN,SWAMI MADHOPUR,10972,5531,12043,28547,23
2008,10,RAJASTHAN,SWAMI MADHOPUR,12413,6558,14735,33706,27
2009,10,RAJASTHAN,SWAMI MADHOPUR,9088,7523,17596,34207,27
2010,10,RAJASTHAN,SWAMI MADHOPUR,12396,8580,22773,43749,33
2011,10,RAJASTHAN,SWAMI MADHOPUR,17356,9489,27214,54058,40
2012,10,RAJASTHAN,SWAMI MADHOPUR,20379,10423,32722,63523,47
2013,10,RAJASTHAN,SWAMI MADHOPUR,24389,11688,37234,73312,53
2007,10,RAJASTHAN,SIKAR,14444,17124,31438,63005,25
2008,10,RAJASTHAN,SIKAR,16018,18912,37683,72613,28
2009,10,RAJASTHAN,SIKAR,15395,21923,43594,80912,31
2010,10,RAJASTHAN,SIKAR,20845,24354,56383,101583,39
2011,10,RAJASTHAN,SIKAR,26091,25733,66554,118378,44
2012,10,RAJASTHAN,SIKAR,27451,27893,78272,133616,49
2013,10,RAJASTHAN,SIKAR,29058,31009,88260,148326,54
2007,10,RAJASTHAN,SIROHI,10014,14096,15968,40078,42
2008,10,RAJASTHAN,SIROHI,10716,16467,18573,45756,47
2009,10,RAJASTHAN,SIROHI,11089,18427,21403,50919,51
2010,10,RAJASTHAN,SIROHI,13708,19658,26285,59650,59
2011,10,RAJASTHAN,SIROHI,17529,19744,30075,67347,65
2012,10,RAJASTHAN,SIROHI,17547,21546,33856,72948,69
2013,10,RAJASTHAN,SIROHI,20242,23122,36682,80046,74
2007,10,RAJASTHAN,TONK,11584,8109,15102,34795,26
2008,10,RAJASTHAN,TONK,12738,9650,18304,40691,30
2009,10,RAJASTHAN,TONK,18332,10605,22004,50941,37
2010,10,RAJASTHAN,TONK,41956,12284,27785,82024,59
2011,10,RAJASTHAN,TONK,57061,14279,33031,104371,73
2012,10,RAJASTHAN,TONK,66116,15306,39675,121097,84
2013,10,RAJASTHAN,TONK,75446,16754,46136,138336,94
2007,10,RAJASTHAN,UDAIPUR,17507,35813,38888,92208,33
2008,10,RAJASTHAN,UDAIPUR,20119,42123,46404,108646,38
2009,10,RAJASTHAN,UDAIPUR,25513,47827,54188,127528,43
2010,10,RAJASTHAN,UDAIPUR,52770,59204,68139,180113,60
2011,10,RAJASTHAN,UDAIPUR,67573,71321,80325,219219,71
2012,10,RAJASTHAN,UDAIPUR,72749,81746,92524,247018,79
2013,10,RAJASTHAN,UDAIPUR,79022,90414,103611,273047,85
2007,9,PUNJAB,GURDASPUR,29410,20330,49464,99203,45
2008,9,PUNJAB,GURDASPUR,34186,22059,57432,113677,51
2009,9,PUNJAB,GURDASPUR,47427,25164,66609,139199,62
2010,9,PUNJAB,GURDASPUR,40988,27257,76626,144871,64
2011,9,PUNJAB,GURDASPUR,44673,29888,89485,164046,71
2012,9,PUNJAB,GURDASPUR,48454,32118,103009,183581,79
2013,9,PUNJAB,GURDASPUR,51199,33066,117459,201723,86
2007,9,PUNJAB,AMRITSAR,29396,26117,42852,98366,42
2008,9,PUNJAB,AMRITSAR,33626,28011,49648,111285,47
2009,9,PUNJAB,AMRITSAR,45359,31811,57429,134598,56
2010,9,PUNJAB,AMRITSAR,40644,35069,68263,143976,59
2011,9,PUNJAB,AMRITSAR,44353,37571,82434,164359,66
2012,9,PUNJAB,AMRITSAR,48013,40510,95207,183730,72
2013,9,PUNJAB,AMRITSAR,50541,41893,111235,203669,79
2007,9,PUNJAB,KAPURTHALA,13499,12110,20248,45857,58
2008,9,PUNJAB,KAPURTHALA,15751,13209,23249,52210,66
2009,9,PUNJAB,KAPURTHALA,16171,15461,27225,58856,73
2010,9,PUNJAB,KAPURTHALA,17364,17146,31716,66226,82
2011,9,PUNJAB,KAPURTHALA,18913,18384,37066,74362,91
2012,9,PUNJAB,KAPURTHALA,20432,19349,42479,82260,100
2013,9,PUNJAB,KAPURTHALA,21463,19533,49580,90576,109
2007,9,PUNJAB,JALANDHAR,19985,38288,62027,120299,57
2008,9,PUNJAB,JALANDHAR,22685,40858,71326,134868,64
2009,9,PUNJAB,JALANDHAR,25891,46460,80834,153184,71
2010,9,PUNJAB,JALANDHAR,27978,50145,93591,171714,79
2011,9,PUNJAB,JALANDHAR,29720,51856,109924,191499,87
2012,9,PUNJAB,JALANDHAR,31369,55130,126112,212611,96
2013,9,PUNJAB,JALANDHAR,32230,56352,145264,233845,104
2007,9,PUNJAB,HOSHIARPUR,19105,17577,32484,69167,45
2008,9,PUNJAB,HOSHIARPUR,22189,18938,36892,78018,50
2009,9,PUNJAB,HOSHIARPUR,25633,21803,43354,90790,58
2010,9,PUNJAB,HOSHIARPUR,28770,23937,49497,102203,65
2011,9,PUNJAB,HOSHIARPUR,30501,22408,57011,109920,69
2012,9,PUNJAB,HOSHIARPUR,32562,24067,65152,121781,76
2013,9,PUNJAB,HOSHIARPUR,34165,24415,73499,132079,82
2007,9,PUNJAB,ROOPNAGAR / ROPAR,5672,7793,10270,23735,36
2008,9,PUNJAB,ROOPNAGAR / ROPAR,6822,8342,11819,26982,40
2009,9,PUNJAB,ROOPNAGAR / ROPAR,8649,9448,12691,30788,46
2010,9,PUNJAB,ROOPNAGAR / ROPAR,8312,10361,14830,33502,49
2011,9,PUNJAB,ROOPNAGAR / ROPAR,9118,11446,18532,39096,57
2012,9,PUNJAB,ROOPNAGAR / ROPAR,10032,12273,20873,43177,62
2013,9,PUNJAB,ROOPNAGAR / ROPAR,10811,12563,23569,46944,67
2007,9,PUNJAB,LUDHIANA,46618,120951,104648,272217,82
2008,9,PUNJAB,LUDHIANA,53612,130245,123034,306891,92
2009,9,PUNJAB,LUDHIANA,55141,150058,140916,346115,102
2010,9,PUNJAB,LUDHIANA,63330,172027,177663,413019,120
2011,9,PUNJAB,LUDHIANA,70692,200833,220156,491680,141
2012,9,PUNJAB,LUDHIANA,78265,220157,262478,560900,158
2013,9,PUNJAB,LUDHIANA,84269,225858,312326,622453,173
2007,9,PUNJAB,FEROZPUR,53719,15472,33453,102644,54
2008,9,PUNJAB,FEROZPUR,64887,16954,40030,121870,63
2009,9,PUNJAB,FEROZPUR,60788,19437,48004,128229,65
2010,9,PUNJAB,FEROZPUR,67732,21793,58305,147831,74
2011,9,PUNJAB,FEROZPUR,76439,25125,70798,172362,85
2012,9,PUNJAB,FEROZPUR,85693,27394,83954,197041,96
2013,9,PUNJAB,FEROZPUR,93466,33686,98599,225751,108
2007,9,PUNJAB,BHATINDA,34970,17368,31386,83723,64
2008,9,PUNJAB,BHATINDA,40917,18854,37294,97064,73
2009,9,PUNJAB,BHATINDA,36334,21594,43324,101252,75
2010,9,PUNJAB,BHATINDA,43909,24118,52953,120980,89
2011,9,PUNJAB,BHATINDA,48928,27808,64395,141131,102
2012,9,PUNJAB,BHATINDA,54121,30292,76056,160470,114
2013,9,PUNJAB,BHATINDA,58241,55202,97262,210705,147
